director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Simon Kinberg,Jessica Chastain,Penélope Cruz,Fan Bingbing,"Action, Adventure, Thriller",the 355
Patricia Harris Seeley,Autumn Reeser,Danny Trejo,Antonio Cupo,"Family, Animation, Fantasy, Horror",the legend of la llorona
Asif Akbar,Mickey Rourke,Michael Jai White,,"Action, Crime, Thriller",the commando
Edward John Drake,Timothy V. Murphy,Bruce Willis,Rob Gough,"Action, Adventure, Thriller",american siege
Tyler Gillett,Melissa Barrera,Mason Gooding,Jenna Ortega,"Horror, Mystery",scream
Jennifer Kluska,Andy Samberg,Selena Gomez,Kathryn Hahn,"Animation, Comedy, Family, Adventure, Fantasy",hotel transylvania: transformania
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,"Mystery, Thriller",shattered
Rick Jacobson,Laura Marano,Mena Massoud,,"Romance, Comedy",the royal treatment
D. J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,"Romance, Drama, Western",redeeming love
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,"Fantasy, Adventure, Family",the king's daughter
Ray Giarratana,Christian Convery,Madalen Mills,Katharine McPhee,"Adventure, Family, Drama",the tiger rising
Justin Lee,Bruce Dern,Billy Zane,Tony Todd,"Horror, Action",hellblazers
Megan Park,Jenna Ortega,Maddie Ziegler,Julie Bowen,Drama,the fallout
Daniel Kinnane,Kevin James,Taylor Lautner,Rob Schneider,"Family, Comedy, Drama",home team
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,"Animation, Comedy, Family, Adventure",the ice age adventures of buck wild
Paul Solet,Adrien Brody,,,"Drama, Thriller",clean
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,"Comedy, Documentary, Action",jackass forever
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,"Science Fiction, Adventure, Action",moonfall
Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,"Action, Crime, Thriller",last looks
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Jaime Camil,"Thriller, Mystery, Crime",kimi
D. J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,"Drama, Thriller",shut in
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,"Mystery, Crime, Thriller",death on the nile
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,"Romance, Comedy, Music",marry me
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,"Action, Thriller, Adventure",blacklight
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,"Comedy, Romance",i want you back
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,"Comedy, Romance, Drama",tall girl 2
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,"Drama, Romance, Music",the sky is everywhere
Arie Posin,Joey King,Kyle Allen,,"Romance, Science Fiction, Drama",the in between
,Iko Uwais,Lewis Tan,Lawrence Kao,"Action, Fantasy",fistful of vengeance
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,"Action, Adventure",uncharted
Channing Tatum,Channing Tatum,Jane Adams,Kevin Nash,"Drama, Comedy",dog
David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Horror,texas chainsaw massacre
Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,"Horror, Thriller",the cursed
Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,"Fantasy, Adventure, Family",a fairy tale after all
Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,"Drama, Romance",cyrano
B. J. McDonnell,Dave Grohl,Nate Mendel,Pat Smear,"Horror, Comedy, Music",studio 666
Tyler Perry,Tyler Perry,Cassi Davis,David Mann,"Comedy, Drama",a madea homecoming
Damien Power,Havana Rose Liu,Danny Ramirez,David Rysdahl,"Thriller, Mystery, Horror",no exit
Martha Coolidge,Adelaide Clemens,Leo Suter,Stephen Dorff,"Drama, Romance, War",i'll find you
Edward John Drake,Devon Sawa,Bruce Willis,Luke Wilson,Comedy,gasoline alley
Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,"Crime, Mystery, Thriller",the batman
Kogonada,Colin Farrell,Jodie Turner-Smith,Justin H. Min,"Science Fiction, Drama",after yang
Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,"Crime, Drama",fresh
Wes Miller,Kevin Dillon,Bruce Willis,Gianni Capaldi,"Action, Thriller, Crime, Drama",a day to die
Jon McDonald,Cary Elwes,Penelope Mitchell,Elaine Tan,Action,the hyperions
Shawn Levy,Ryan Reynolds,Walker Scobell,Mark Ruffalo,"Adventure, Science Fiction, Action, Comedy",the adam project
